0.0233262584268857,0.0196366129605993,-0.0280963015629434,a,nexus48,nexus4_12,stan2d
0.0257143577509503,0.0172624009119716,-0.0260188980234338,a,nexus4,nexus4_1,stand
0.0281024593108222,0.0172624009119716,-0.0239414925389992,a,nexus4,nexus4_1,stand
0.0304905586348869,0.0125139770369968,-0.0218640909444146,a,nexus4,nexus4_1,stand
0.0281024593108222,0.00539134077997356,-0.0218640909444146,a,nexus4,nexus4_1,stand
0.0257143577509503,0.00064291734955976,-0.0260188980234338,a,nexus4,nexus4_1,stand
0.0185500586608529,-0.00885393084495091,-0.0260188980234338,a,nexus4,nexus4_1,stand
0.0185500586608529,-0.0112281423378773,-0.0239414925389992,a,nexus4,nexus4_1,stand
0.01377385889482,-0.0159765675465352,-0.0260188980234338,a,nexus4,nexus4_1,stand
0.0161619582188846,-0.0159765675465352,-0.0239414925389992,a,nexus4,nexus4_1,stand
0.0113857595707554,-0.0136023560536088,-0.0280963015629434,a,nexus4,nexus4_1,stand
0.00660955935756106,-0.0136023560536088,-0.0280963015629434,a,nexus4,nexus4_1,stand
0.00422145936275426,-0.00885393084495091,-0.0197866854599801,a,nexus4,nexus4_1,stand
0.00183336003868966,-0.0136023560536088,-0.0239414925389992,a,nexus4,nexus4_1,stand
0.00422145936275426,-0.00647971935202452,-0.0218640909444146,a,nexus4,nexus4_1,stand
0.00183336003868966,-0.00647971935202452,-0.0197866854599801,a,nexus4,nexus4_1,stand
0.00422145936275426,0.00064291734955976,-0.0177092819204705,a,nexus4,nexus4_1,stand
0.00660955935756106,0.00301712884248615,-0.015631876436036,a,nexus4,nexus4_1,stand
0.0113857595707554,0.00539134077997356,-0.00732226130553522,a,nexus4,nexus4_1,stand
0.00899765912878713,0.00776555293974148,-0.00732226130553522,a,nexus4,nexus4_1,stand
0.01377385889482,0.00064291734955976,-0.00316745325405359,a,nexus4,nexus4_1,stand
0.01377385889482,-0.00173129414336663,-0.00524485679356316,a,nexus4,nexus4_1,stand
0.00660955935756106,-0.00885393084495091,-0.00109004971454402,a,nexus4,nexus4_1,stand
0.00422145936275426,-0.0159765675465352,-0.00524485679356316,a,nexus4,nexus4_1,stand
-0.000554740179697874,-0.0183507790394616,-0.00524485679356316,a,nexus4,nexus4_1,stand
-0.00294283995092394,-0.0159765675465352,-0.0114770693570168,a,nexus4,nexus4_1,stand
-0.00294283995092394,-0.0207249927551931,-0.00732226130553522,a,nexus4,nexus4_1,stand
-0.00533093987865652,-0.0136023560536088,-0.0114770693570168,a,nexus4,nexus4_1,stand
-0.00294283995092394,-0.0136023560536088,-0.0135544728965264,a,nexus4,nexus4_1,stand
-0.000554740179697874,-0.00885393084495091,-0.0135544728965264,a,nexus4,nexus4_1,stand
0.00183336003868966,0.00301712884248615,-0.0135544728965264,a,nexus4,nexus4_1,stand
0.00660955935756106,0.00539134077997356,-0.0114770693570168,a,nexus4,nexus4_1,stand
0.00899765912878713,0.0101397648772289,-0.00524485679356316,a,nexus4,nexus4_1,stand
0.0161619582188846,0.00776555293974148,-0.00732226130553522,a,nexus4,nexus4_1,stand
0.0113857595707554,0.00539134077997356,-0.00316745325405359,a,nexus4,nexus4_1,stand
0.0113857595707554,0.00539134077997356,0.0030647587259226,a,nexus4,nexus4_1,stand
0.0113857595707554,0.00301712884248615,0.000987353824965553,a,nexus4,nexus4_1,stand
0.0161619582188846,0.00301712884248615,0.0092969707058988,a,nexus4,nexus4_1,stand
0.00899765912878713,-0.00410550785909814,0.0092969707058988,a,nexus4,nexus4_1,stand
0.00422145936275426,-0.00173129414336663,0.00721956638841924,a,nexus4,nexus4_1,stand
-0.000554740179697874,-0.00173129414336663,0.0196839905428641,a,nexus4,nexus4_1,stand
-0.00771903971695681,0.00064291734955976,0.015529182685875,a,nexus4,nexus4_1,stand
-0.00771903971695681,-0.00885393084495091,0.0217613946658512,a,nexus4,nexus4_1,stand
-0.0124952394829897,-0.0112281423378773,0.0238387985943458,a,nexus4,nexus4_1,stand
-0.0196595390202486,-0.00885393084495091,0.0342258182368186,a,nexus4,nexus4_1,stand
-0.0196595390202486,-0.0112281423378773,0.0383806272607627,a,nexus4,nexus4_1,stand
-0.0244357385627007,-0.0112281423378773,0.0487676469032355,a,nexus4,nexus4_1,stand
-0.0244357385627007,-0.0112281423378773,0.0612320700852179,a,nexus4,nexus4_1,stand
-0.0411524367377025,-0.00410550785909814,0.0820061113150885,a,nexus4,nexus4_1,stand
-0.0339881387655087,-0.00885393084495091,0.0716190897276907,a,nexus4,nexus4_1,stand
-0.0483167369457036,-0.00173129414336663,0.0861609183941077,a,nexus4,nexus4_1,stand
-0.0530929378296401,-0.00173129414336663,0.0944705344970709,a,nexus4,nexus4_1,stand
-0.0626453373617059,-0.00173129414336663,0.0986253415760901,a,nexus4,nexus4_1,stand
-0.0698096353338997,-0.00173129414336663,0.109012361218563,a,nexus4,nexus4_1,stand
-0.0721977346579643,0.00301712884248615,0.111089766702997,a,nexus4,nexus4_1,stand
-0.0769739333060935,0.00301712884248615,0.115244573782017,a,nexus4,nexus4_1,stand
-0.0817501319542227,0.00539134077997356,0.119399382805961,a,nexus4,nexus4_1,stand
-0.0817501319542227,0.0101397648772289,0.119399382805961,a,nexus4,nexus4_1,stand
-0.084138235749902,0.0172624009119716,0.129786402448434,a,nexus4,nexus4_1,stand
-0.084138235749902,0.0220108249647709,0.131863809877793,a,nexus4,nexus4_1,stand
-0.0817501319542227,0.0243850369467144,0.138096018551397,a,nexus4,nexus4_1,stand
-0.0865263306023519,0.0291334610439697,0.14640563465436,a,nexus4,nexus4_1,stand
